1,Marco Jonkers,2:08.557,0:43.700,0:57.700,0:27.200,5075
2,Marco Jonkers,2:02.032,0:38.700,0:56.100,0:27.200,5075
3,Marco Jonkers,2:02.222,0:39.000,0:55.800,0:27.500,5075
4,Marco Jonkers,2:02.595,0:39.200,0:55.900,0:27.500,5075
5,Marco Jonkers,2:01.785,0:38.900,0:55.800,0:27.000,5075
6,Marco Jonkers,2:01.147,0:38.600,0:55.600,0:27.000,5075
7,Marco Jonkers,2:01.342,0:38.500,0:55.500,0:27.400,5075
8,Marco Jonkers,2:01.225,0:38.500,0:55.700,0:27.100,5075
9,Marco Jonkers,2:00.975,0:38.500,0:55.500,0:27.000,5075
10,Marco Jonkers,2:01.187,0:38.600,0:55.600,0:27.000,5075
11,Marco Jonkers,2:01.475,0:38.800,0:55.600,0:27.100,5075
12,Marco Jonkers,2:01.612,0:38.700,0:55.800,0:27.200,5075
13,Marco Jonkers,2:01.927,0:38.600,0:56.000,0:27.400,5075
14,Marco Jonkers,2:01.972,0:38.700,0:56.100,0:27.200,5075
15,Marco Jonkers,2:01.770,0:38.500,0:56.200,0:27.000,5075
16,Marco Jonkers,2:01.672,0:38.600,0:55.900,0:27.200,5075
17,Marco Jonkers,2:02.142,0:38.700,0:56.400,0:27.000,5075
18,Marco Jonkers,2:02.392,0:38.700,0:56.400,0:27.300,5075
19,Marco Jonkers,2:01.520,0:38.600,0:55.900,0:27.000,5075
20,Marco Jonkers,2:01.557,0:38.500,0:55.900,0:27.200,5075
21,Marco Jonkers,2:01.640,0:38.600,0:55.900,0:27.100,5075
22,Marco Jonkers,2:01.592,0:38.600,0:55.800,0:27.200,5075
23,Marco Jonkers,2:01.165,0:38.600,0:55.500,0:27.100,5075
24,Marco Jonkers,2:01.150,0:38.500,0:55.600,0:27.000,5075
25,Marco Jonkers,2:01.100,0:38.600,0:55.600,0:27.000,5075
26,Marco Jonkers,2:00.995,0:38.500,0:55.500,0:27.000,5075
27,Marco Jonkers,2:01.585,0:38.400,0:55.700,0:27.500,5075
28,Marco Jonkers,2:01.087,0:38.500,0:55.600,0:27.000,5075
29,Marco Jonkers,2:00.852,0:38.400,0:55.400,0:27.000,5075
30,Marco Jonkers,2:01.605,0:38.600,0:55.900,0:27.100,5075
31,Marco Jonkers,2:02.527,0:38.500,0:55.700,0:28.300,5075
32,Marco Jonkers,2:55.990,1:32.900,0:55.900,0:27.200,5075
33,Marco Jonkers,2:01.552,0:38.700,0:55.700,0:27.200,5075
34,Marco Jonkers,2:01.117,0:38.700,0:55.500,0:27.000,5075
35,Marco Jonkers,2:01.522,0:38.700,0:55.800,0:27.100,5075
36,Marco Jonkers,2:01.070,0:38.600,0:55.500,0:27.000,5075
37,Marco Jonkers,2:01.327,0:38.600,0:55.700,0:27.000,5075
38,Marco Jonkers,2:01.625,0:38.500,0:56.200,0:27.000,5075
39,Marco Jonkers,2:01.265,0:38.600,0:55.600,0:27.000,5075
40,Marco Jonkers,2:01.325,0:38.600,0:55.700,0:27.100,5075
41,Marco Jonkers,2:01.305,0:38.700,0:55.700,0:27.000,5075
42,Marco Jonkers,2:01.432,0:38.700,0:55.600,0:27.200,5075
43,Marco Jonkers,2:01.400,0:38.600,0:55.700,0:27.100,5075
44,Marco Jonkers,2:01.737,0:39.300,0:55.500,0:27.000,5075
